DATA,TMED,CHUVA
2023-01-01,24.81488095238095,5.7
2023-01-08,26.244910179640716,14.7
2023-01-15,26.115243902439023,59.800000000000004
2023-01-22,27.99940476190476,0.0
2023-01-29,27.641044776119404,25.200000000000003
2023-02-05,29.911111111111115,12.7
2023-02-12,25.722826086956516,26.7
2023-02-19,25.023404255319146,10.5
2023-02-26,26.169047619047618,7.3999999999999995
2023-03-05,26.291463414634148,27.699999999999996
2023-03-12,25.94406779661017,44.800000000000004
2023-03-19,30.147368421052636,0.0
2023-03-26,26.035820895522384,5.6
2023-04-02,22.410000000000007,13.899999999999997
2023-04-09,23.25238095238095,51.8
2023-04-16,20.933928571428574,17.6
2023-04-23,21.90297619047619,24.2
2023-04-30,23.579041916167665,25.3
2023-05-07,20.924404761904764,0.0
2023-05-14,19.292261904761904,0.0
2023-05-21,21.94404761904762,2.5
2023-05-28,18.992857142857144,12.399999999999999
2023-06-04,20.573214285714283,0.0
2023-06-11,16.577987421383646,117.0
2023-06-18,17.77797619047619,8.8
2023-06-25,20.29404761904762,0.0
2023-07-02,19.23207547169811,21.3
2023-07-09,17.94036144578313,74.69999999999999
2023-07-16,16.71474358974359,3.3
2023-07-23,19.34658385093168,1.8
2023-07-30,18.79139072847682,0.0
2023-08-06,19.17430555555556,35.1
2023-08-13,18.888741721854302,22.9
2023-08-20,18.94294871794872,48.599999999999994
2023-08-27,17.175595238095237,8.700000000000001
2023-09-03,20.10544217687075,19.5
2023-09-10,20.525000000000002,0.5
2023-09-17,23.510596026490067,17.000000000000004
2023-09-24,20.4046357615894,71.3
2023-10-01,19.18421052631579,173.5
2023-10-08,19.777124183006535,151.2
2023-10-15,20.139189189189192,30.1
2023-10-22,22.037414965986397,53.3
2023-10-29,22.136363636363637,99.8
2023-11-05,23.307096774193546,5.6
2023-11-12,24.112903225806452,174.8
2023-11-19,23.94256756756757,14.9
2023-11-26,24.53607594936709,86.0
2023-12-03,25.357324840764335,33.7
2023-12-10,25.5687898089172,26.599999999999998
2023-12-17,28.59057971014493,15.8
2023-12-24,27.495238095238093,0.5
